universe,screen_rule,controller,mean_turnover,median_turnover,p90_turnover
liquid_us_equity_100,cluster_capped_momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau126_k5,16.272727272711005,14.799999999985202,25.399999999974614
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau21_k5,40.01818181814181,37.59999999996241,63.39999999993664
liquid_us_equity_100,cluster_capped_momentum_63_top10,MRH_tau63_k5,23.163636363613207,21.39999999997861,37.39999999996262
liquid_us_equity_100,low_volatility_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_100,low_volatility_63_top10,MRH_tau126_k5,15.509090909075407,14.399999999985607,25.79999999997422
liquid_us_equity_100,low_volatility_63_top10,MRH_tau21_k5,38.03636363632562,35.1999999999648,60.59999999993944
liquid_us_equity_100,low_volatility_63_top10,MRH_tau63_k5,21.52727272725121,18.999999999981007,38.19999999996182
liquid_us_equity_100,momentum_21_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_100,momentum_21_top10,MRH_tau126_k5,16.07272727271121,14.399999999985603,27.39999999997262
liquid_us_equity_100,momentum_21_top10,MRH_tau21_k5,39.16363636359722,37.59999999996241,63.39999999993664
liquid_us_equity_100,momentum_21_top10,MRH_tau63_k5,22.272727272705012,20.59999999997941,37.799999999962225
liquid_us_equity_100,momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_100,momentum_63_top10,MRH_tau126_k5,16.363636363620007,14.799999999985202,25.399999999974614
liquid_us_equity_100,momentum_63_top10,MRH_tau21_k5,40.09090909086901,37.59999999996241,63.39999999993664
liquid_us_equity_100,momentum_63_top10,MRH_tau63_k5,23.14545454543141,21.39999999997861,37.39999999996262
liquid_us_equity_100,vol_adjusted_momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau126_k5,16.199999999983806,15.599999999984401,25.399999999974614
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau21_k5,39.272727272688016,37.1999999999628,63.39999999993664
liquid_us_equity_100,vol_adjusted_momentum_63_top10,MRH_tau63_k5,22.96363636361341,21.999999999978005,38.19999999996183
liquid_us_equity_250,cluster_capped_momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_250,cluster_capped_momentum_63_top10,MRH_tau126_k5,10.418181818171401,10.599999999989404,12.999999999987008
liquid_us_equity_250,cluster_capped_momentum_63_top10,MRH_tau21_k5,24.309090909066597,25.399999999974604,32.59999999996739
liquid_us_equity_250,cluster_capped_momentum_63_top10,MRH_tau63_k5,13.836363636349802,14.5999999999854,18.19999999998181
liquid_us_equity_250,low_volatility_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_250,low_volatility_63_top10,MRH_tau126_k5,11.109090909079802,11.7999999999882,15.799999999984204
liquid_us_equity_250,low_volatility_63_top10,MRH_tau21_k5,24.090909090885,24.999999999974992,33.3999999999666
liquid_us_equity_250,low_volatility_63_top10,MRH_tau63_k5,14.127272727258601,14.999999999985,18.599999999981407
liquid_us_equity_250,momentum_21_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_250,momentum_21_top10,MRH_tau126_k5,10.745454545443799,11.3999999999886,15.799999999984196
liquid_us_equity_250,momentum_21_top10,MRH_tau21_k5,24.454545454520996,24.1999999999758,32.99999999996699
liquid_us_equity_250,momentum_21_top10,MRH_tau63_k5,14.127272727258601,14.1999999999858,19.7999999999802
liquid_us_equity_250,momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_250,momentum_63_top10,MRH_tau126_k5,10.709090909080201,10.599999999989404,12.999999999987008
liquid_us_equity_250,momentum_63_top10,MRH_tau21_k5,24.272727272702998,24.999999999975,32.59999999996739
liquid_us_equity_250,momentum_63_top10,MRH_tau63_k5,13.799999999986202,14.599999999985402,16.999999999983007
liquid_us_equity_250,vol_adjusted_momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_250,vol_adjusted_momentum_63_top10,MRH_tau126_k5,10.2363636363534,10.5999999999894,12.999999999987
liquid_us_equity_250,vol_adjusted_momentum_63_top10,MRH_tau21_k5,24.381818181793797,24.999999999975,33.7999999999662
liquid_us_equity_250,vol_adjusted_momentum_63_top10,MRH_tau63_k5,13.945454545440601,14.599999999985402,17.399999999982604
liquid_us_equity_500,cluster_capped_momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_500,cluster_capped_momentum_63_top10,MRH_tau126_k5,9.5777777777682,8.599999999991399,12.51999999998748
liquid_us_equity_500,cluster_capped_momentum_63_top10,MRH_tau21_k5,21.9333333333114,20.999999999979003,30.35999999996964
liquid_us_equity_500,cluster_capped_momentum_63_top10,MRH_tau63_k5,12.555555555543002,12.1999999999878,18.03999999998197
liquid_us_equity_500,low_volatility_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_500,low_volatility_63_top10,MRH_tau126_k5,9.7555555555458,10.199999999989805,12.759999999987242
liquid_us_equity_500,low_volatility_63_top10,MRH_tau21_k5,22.866666666643802,22.1999999999778,30.83999999996917
liquid_us_equity_500,low_volatility_63_top10,MRH_tau63_k5,13.044444444431402,13.399999999986605,16.279999999983726
liquid_us_equity_500,momentum_21_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_500,momentum_21_top10,MRH_tau126_k5,8.777777777769002,8.1999999999918,12.599999999987402
liquid_us_equity_500,momentum_21_top10,MRH_tau21_k5,21.711111111089398,20.999999999978996,29.79999999997021
liquid_us_equity_500,momentum_21_top10,MRH_tau63_k5,12.199999999987801,11.3999999999886,15.559999999984443
liquid_us_equity_500,momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_500,momentum_63_top10,MRH_tau126_k5,9.888888888879,9.7999999999902,12.51999999998748
liquid_us_equity_500,momentum_63_top10,MRH_tau21_k5,22.0222222222002,20.999999999979003,30.35999999996964
liquid_us_equity_500,momentum_63_top10,MRH_tau63_k5,12.599999999987402,12.1999999999878,18.03999999998197
liquid_us_equity_500,vol_adjusted_momentum_63_top10,EW,1.0000333894311098e-12,1.0000333894311098e-12,1.0000333894311098e-12
liquid_us_equity_500,vol_adjusted_momentum_63_top10,MRH_tau126_k5,8.999999999991,8.999999999991001,11.879999999988122
liquid_us_equity_500,vol_adjusted_momentum_63_top10,MRH_tau21_k5,22.066666666644597,20.999999999979007,31.23999999996876
liquid_us_equity_500,vol_adjusted_momentum_63_top10,MRH_tau63_k5,11.8444444444326,12.599999999987402,15.719999999984282
